id;codigo;descripcion_danio;tecnico;name_person;direccion;estado_reparacion;observacion;tipo_danio_id
1;joyfully;recapture;geez;fat;blockade laugh rudely;far whereas caring;false utilized by;1
2;whoever as;mixed maiden;ah because ick;ooze rectangular;adolescent grasp webmail;oh;cartel;2
3;defensive honestly aw;until notion but;drat unrealistic greatly;rock tab that;exhausted quibble;because fragrant;ha which;3
4;powerfully;considering versus aw;mall zowie fervently;mockingly suspiciously;aw;depopulate;aw before yippee;4
5;wherever wet;flight;woot however clam;amongst replicate through;acknowledgment rough compensate;wag domain;inquisitively outside;5
6;eventually drat;toward healthily;patiently phooey;rarely bitterly;television;out huzzah;vaguely;6
7;hungrily;kookily overrun rapidly;into modulo beyond;readily season;crossly proliferation;though vanquish royal;qua distract immediately;7
8;aw copywriter;pledge macaw that;harmful round;unlace;tile;while verifiable;hideous until gaming;8
9;abaft out;to since;because melodic;warmly combat freely;before;incidentally;lentil lightly;9
10;reapply dangerous;normal;spring yippee ack;terribly except;duh gain;hackwork;wise;10
